ID_ISIN,Bloomberg,Yahoo,Industry
GB00B132NW22,ASHM LN Equity,ASHM.L,Diversified Finan Serv
GB0002148343,RAT LN Equity,RAT.L,Diversified Finan Serv
GB00B2NGPM57,PAG LN Equity,PAG.L,Diversified Finan Serv
GB00B1H0DZ51,TLPR LN Equity,TLPR.L,Diversified Finan Serv
GB0001765816,BRW LN Equity,BRW.L,Diversified Finan Serv
GB00B1YKG049,IPF LN Equity,IPF.L,Diversified Finan Serv
GB00B02QND93,PAY LN Equity,PAY.L,Diversified Finan Serv
GB00BQQMCJ47,ALD LN Equity,ALD.L,Diversified Finan Serv
DE0005810055,DB1 GY Equity,DB1.DE,Diversified Finan Serv
US0258161092,AXP UN Equity,AXP,Diversified Finan Serv
US57636Q1040,MA UN Equity,MA,Diversified Finan Serv
US92826C8394,V UN Equity,V,Diversified Finan Serv
CH0102484968,BAER VX Equity,BAER.VX,Diversified Finan Serv
US09247X1019,BLK UN Equity,BLK,Diversified Finan Serv
GB00BZ02MH16,NXG LN Equity,NXG.L,Diversified Finan Serv
GB00B14SKR37,CMCX LN Equity,CMCX.L,Diversified Finan Serv
GB0007908733,SSE LN Equity,SSE.L,Electric
GB00B1VNSX38,DRX LN Equity,DRX.L,Electric
FR0010208488,ENGI FP Equity,ENGI.PA,Electric
DE0007037129,RWE GY Equity,RWE.DE,Electric
DE000ENAG999,EOAN GY Equity,EOAN.DE,Electric
ES0144580Y14,IBE SM Equity,IBE.MC,Electric
ES0173093115,REE SM Equity,REE.MC,Electric
ES0130670112,ELE SM Equity,ELE.MC,Electric
US30161N1019,EXC UN Equity,EXC,Electric
FI0009007132,FUM1V FH Equity,FUM1V.HE,Electric
US8425871071,SO UN Equity,SO,Electric
US26441C2044,DUK UN Equity,DUK,Electric
IT0003128367,ENEL IM Equity,ENEL.MI,Electric
US65339F1012,NEE UN Equity,NEE,Electric
ES0173093024,REE SM Equity,REE.MC,Electric
DK0060094928,DENERG DC Equity,DENERG.CO,Electric
FR0000121972,SU FP Equity,SU.PA,Electrical Compo&Equip
FR0010307819,LR FP Equity,LR.PA,Electrical Compo&Equip
ES0143416115,GAM SM Equity,GAM.MC,Electrical Compo&Equip
US2910111044,EMR UN Equity,EMR,Electrical Compo&Equip
GB0004052071,HLMA LN Equity,HLMA.L,Electronics
GB0003308607,SXS LN Equity,SXS.L,Electronics
GB00BVFNZH21,ROR LN Equity,ROR.L,Electronics
GB0003096442,ECM LN Equity,ECM.L,Electronics
GB0007323586,RSW LN Equity,RSW.L,Electronics
NL0000009538,PHIA NA Equity,PHIA.AS,Electronics
US4385161066,HON UN Equity,HON,Electronics
