ID_ISIN,Bloomberg,Yahoo,Industry
US47215P1066,JD UW Equity,JD,Internet
US64110L1061,NFLX UW Equity,NFLX,Internet
US7415034039,PCLN UW Equity,PCLN,Internet
US8715031089,SYMC UW Equity,SYMC,Internet
US8969452015,TRIP UW Equity,TRIP,Internet
US9843321061,YHOO UW Equity,YHOO,Internet
US22943F1003,CTRP UW Equity,CTRP,Internet
US30212P3038,EXPE UW Equity,EXPE,Internet
US53071M8560,LVNTA UW Equity,LVNTA,Internet
GB00BVC3CB83,JLG LN Equity,JLG.L,Investment Companies
GG00BBHX2H91,TRIG LN Equity,TRIG.L,Investment Companies
GB00BZ1G4322,MRO LN Equity,MRO.L,Investment Companies
SE0000107419,INVEB SS Equity,INVE-B.ST,Investment Companies
SE0008373906,KINVB SS Equity,KINV-B.ST,Investment Companies
GB00B71N6K86,EVR LN Equity,EVR.L,Iron/Steel
DE0007500001,TKA GY Equity,TKA.DE,Iron/Steel
LU0323134006,MT NA Equity,MT.AS,Iron/Steel
LU0323134006,MTS SM Equity,MTS.MC,Iron/Steel
ES0132105018,ACX SM Equity,ACX.MC,Iron/Steel
FI0009002422,OUT1V FH Equity,OUT1V.HE,Iron/Steel
GB00B1XH2C03,FXPO LN Equity,FXPO.L,Iron/Steel
SE0000171100,SSABA SS Equity,SSABA.ST,Iron/Steel
GB0031215220,CCL LN Equity,CCL.L,Leisure Time
DE000TUAG000,TUI LN Equity,TUI.L,Leisure Time
GB00B1VYCH82,TCG LN Equity,TCG.L,Leisure Time
FI0009000285,AMEAS FH Equity,AMEAS.HE,Leisure Time
BMG667211046,NCLH UW Equity,NCLH,Leisure Time
GB00B1KJJ408,WTB LN Equity,WTB.L,Lodging
GB00BYXK6398,IHG LN Equity,IHG.L,Lodging
GB0005622542,MLC LN Equity,MLC.L,Lodging
FR0000120404,AC FP Equity,AC.PA,Lodging
US5719032022,MAR UW Equity,MAR,Lodging
ES0176252718,MEL SM Equity,MEL.MC,Lodging
CH0012221716,ABB SS Equity,ABBN.VX,Machinery-Constr&Mining
SE0006886768,ATCOB SS Equity,ATCO-B.ST,Machinery-Constr&Mining
US1491231015,CAT UN Equity,CAT,Machinery-Constr&Mining
FI0009014575,OTE1V FH Equity,OTE1V.HE,Machinery-Constr&Mining
SE0006886750,ATCOA SS Equity,ATCO-A.ST,Machinery-Constr&Mining
GB0009465807,WEIR LN Equity,WEIR.L,Machinery-Diversified
GB00BWFGQN14,SPX LN Equity,SPX.L,Machinery-Diversified
DK0010234467,FLS DC Equity,FLS.CO,Machinery-Diversified
FI0009013403,KNEBV FH Equity,KNEBV.HE,Machinery-Diversified
FI0009007835,MEO1V FH Equity,MEO1V.HE,Machinery-Diversified
FI4000074984,VALMT FH Equity,VALMT.HE,Machinery-Diversified
GB0001411924,SKY LN Equity,SKY.L,Media
GB0033986497,ITV LN Equity,ITV.L,Media
GB0006776081,PSON LN Equity,PSON.L,Media
GB00BMJ6DW54,INF LN Equity,INF.L,Media
GB0006886666,ERM LN Equity,ERM.L,Media
FR0000127771,VIV FP Equity,VIV.PA,Media
DE000PSM7770,PSM GY Equity,SDF.DE,Media
NL0000395903,WKL NA Equity,WKL.AS,Media
NL0011333752,ATC NA Equity,ATC.AS,Media
ES0152503035,TL5 SM Equity,TL5.MC,Media
US16119P1084,CHTR UW Equity,CHTR,Media
US20030N1019,CMCSA UW Equity,CMCSA,Media
US2546871060,DIS UN Equity,DIS,Media
US25470F1049,DISCA UW Equity,DISCA,Media
US25470F3029,DISCK UW Equity,DISCK,Media
US25470M1099,DISH UW Equity,DISH,Media
US90130A2006,FOX UW Equity,FOX,Media
US90130A1016,FOXA UW Equity,FOXA,Media
GB00B8W67662,LBTYA UW Equity,LBTYA,Media
GB00B8W67B19,LBTYK UW Equity,LBTYK,Media
US5312298707,LMCA UW Equity,LMCA,Media
US5312298541,LMCK UW Equity,LMCK,Media
NO0003028904,SCHA NO Equity,SCHA.OL,Media
US82968B1035,SIRI UW Equity,SIRI,Media
US8873173038,TWX UN Equity,TWX,Media
US92553P2011,VIAB UW Equity,VIAB,Media
US5312297063,BATRA UW Equity,BATRA,Media
NO0010736879,SCHB NO Equity,SCHB.OL,Media
GB00BTC0MD78,LILAK UW Equity,LILAK,Media
GB00BTC0M714,LILA UW Equity,LILA,Media
GB00B3FLWH99,BOY LN Equity,BOY.L,Metal Fabricate/Hardware
SE0007100581,ASSAB SS Equity,ASSA-B.ST,Metal Fabricate/Hardware
SE0000108227,SKFB SS Equity,SKF-B.ST,Metal Fabricate/Hardware
GB0007188757,RIO LN Equity,RIO.L,Mining
GB0000566504,BLT LN Equity,BLT.L,Mining
JE00B4T3BW64,GLEN LN Equity,GLEN.L,Mining
GB00B1XZS820,AAL LN Equity,AAL.L,Mining
GB00B01C3S32,RRS LN Equity,RRS.L,Mining
GB00B2QPKJ12,FRES LN Equity,FRES.L,Mining
GB0000456144,ANTO LN Equity,ANTO.L,Mining
JE00B6T5S470,POLY LN Equity,POLY.L,Mining
JE00B5TT1872,CEY LN Equity,CEY.L,Mining
GB00B61D2N63,ACA LN Equity,ACA.L,Mining
GB0033277061,VED LN Equity,VED.L,Mining
GB00B0HZPV38,KAZ LN Equity,KAZ.L,Mining
SE0000869646,BOL SS Equity,BOL.ST,Mining
NO0005052605,NHY NO Equity,NHY.OL,Mining
BMG702781094,PDL LN Equity,PDL.L,Mining
GB00B1FW5029,HOC LN Equity,HOC.L,Mining
