ID_ISIN,Bloomberg,Yahoo,Industry
GB0002162385,AV/ LN Equity,AV.L,Insurance
GB0005603997,LGEN LN Equity,LGEN.L,Insurance
GB00B77J0862,OML LN Equity,OML.L,Insurance
GB00BVFD7Q58,SL/ LN Equity,SL.L,Insurance
GB00BY9D0Y18,DLG LN Equity,DLG.L,Insurance
GB00BKKMKR23,RSA LN Equity,RSA.L,Insurance
GB0007669376,STJ LN Equity,STJ.L,Insurance
GB00B02J6398,ADM LN Equity,ADM.L,Insurance
BMG4593F1389,HSX LN Equity,HSX.L,Insurance
GB00BLT1Y088,SAGA LN Equity,SAGA.L,Insurance
KYG7091M1096,PHNX LN Equity,PHNX.L,Insurance
GB00BYQ0JC66,BEZ LN Equity,BEZ.L,Insurance
BMG5361W1047,LRE LN Equity,LRE.L,Insurance
GB0005203376,JLT LN Equity,JLT.L,Insurance
GB00B8KJH563,ESUR LN Equity,ESUR.L,Insurance
GB00BCRX1J15,JRP LN Equity,JRP.L,Insurance
GB00BYRJH519,HSTG LN Equity,HSTG.L,Insurance
FR0000120628,CS FP Equity,CS.PA,Insurance
DE0008404005,ALV GY Equity,ALV.DE,Insurance
DE0008430026,MUV2 GY Equity,MUV2.DE,Insurance
NL0000303709,AGN NA Equity,AGN.AS,Insurance
NL0010773842,NN NA Equity,NN.AS,Insurance
ES0124244E34,MAP SM Equity,MAP.MC,Insurance
GB00BVYVFW23,AUTO LN Equity,AUTO.L,Internet
GB00B2987V85,RMV LN Equity,RMV.L,Internet
GB00BKX5CN86,JE/ LN Equity,JE.L,Internet
GB0034264548,PAYS LN Equity,ITV.L,Internet
GB00B1ZBKY84,MONY LN Equity,MONY.L,Internet
GB00BMHTHT14,ZPLA LN Equity,ZPLA.L,Internet
GB00BVC3CB83,JLG LN Equity,JLG.L,Investment Companies
GG00BBHX2H91,TRIG LN Equity,TRIG.L,Investment Companies
GB00BZ1G4322,MRO LN Equity,MRO.L,Investment Companies
GB00B71N6K86,EVR LN Equity,EVR.L,Iron/Steel
