Bloomberg,Yahoo,Industry,Name,Curncy,CcyAdj,TickerMultiplier
KIM UN Equity,KIM,Real Estate,Kimco Realty Corp,USD,1,1
ORCL UN Equity,ORCL,Information Technology,Oracle Corp,USD,1,1
KR UN Equity,KR,Consumer Staples,Kroger Co/The,USD,1,1
LEG UN Equity,LEG,Consumer Discretionary,Leggett & Platt Inc,USD,1,1
LEN UN Equity,LEN,Consumer Discretionary,Lennar Corp,USD,1,1
LLY UN Equity,LLY,Health Care,Eli Lilly & Co,USD,1,1
BBWI UN Equity,BBWI,Consumer Discretionary,Bath & Body Works Inc,USD,1,1
CHTR UW Equity,CHTR,Communication Services,Charter Communications Inc,USD,1,1
LNC UN Equity,LNC,Financials,Lincoln National Corp,USD,1,1
L UN Equity,L,Financials,Loews Corp,USD,1,1
LOW UN Equity,LOW,Consumer Discretionary,Lowe's Cos Inc,USD,1,1
IEX UN Equity,IEX,Industrials,IDEX Corp,USD,1,1
MMC UN Equity,MMC,Financials,Marsh & McLennan Cos Inc,USD,1,1
MAS UN Equity,MAS,Industrials,Masco Corp,USD,1,1
SPGI UN Equity,SPGI,Financials,S&P Global Inc,USD,1,1
MDT UN Equity,MDT,Health Care,Medtronic PLC,USD,1,1
VTRS UW Equity,VTRS,Health Care,Viatris Inc,USD,1,1
CVS UN Equity,CVS,Health Care,CVS Health Corp,USD,1,1
DD UN Equity,DD,Materials,DuPont de Nemours Inc,USD,1,1
MU UW Equity,MU,Information Technology,Micron Technology Inc,USD,1,1
MSI UN Equity,MSI,Information Technology,Motorola Solutions Inc,USD,1,1
CBOE UF Equity,CBOE,Financials,Cboe Global Markets Inc,USD,1,1
LH UN Equity,LH,Health Care,Laboratory Corp of America Holdings,USD,1,1
NEM UN Equity,NEM,Materials,Newmont Corp,USD,1,1
NKE UN Equity,NKE,Consumer Discretionary,NIKE Inc,USD,1,1
NI UN Equity,NI,Utilities,NiSource Inc,USD,1,1
NSC UN Equity,NSC,Industrials,Norfolk Southern Corp,USD,1,1
PFG UW Equity,PFG,Financials,Principal Financial Group Inc,USD,1,1
ES UN Equity,ES,Utilities,Eversource Energy,USD,1,1
NOC UN Equity,NOC,Industrials,Northrop Grumman Corp,USD,1,1
WFC UN Equity,WFC,Financials,Wells Fargo & Co,USD,1,1
NUE UN Equity,NUE,Materials,Nucor Corp,USD,1,1
PVH UN Equity,PVH,Consumer Discretionary,PVH Corp,USD,1,1
OXY UN Equity,OXY,Energy,Occidental Petroleum Corp,USD,1,1
OMC UN Equity,OMC,Communication Services,Omnicom Group Inc,USD,1,1
OKE UN Equity,OKE,Energy,ONEOK Inc,USD,1,1
RJF UN Equity,RJF,Financials,Raymond James Financial Inc,USD,1,1
PH UN Equity,PH,Industrials,Parker-Hannifin Corp,USD,1,1
ROL UN Equity,ROL,Industrials,Rollins Inc,USD,1,1
PPL UN Equity,PPL,Utilities,PPL Corp,USD,1,1
COP UN Equity,COP,Energy,ConocoPhillips,USD,1,1
PHM UN Equity,PHM,Consumer Discretionary,PulteGroup Inc,USD,1,1
PNW UN Equity,PNW,Utilities,Pinnacle West Capital Corp,USD,1,1
PNC UN Equity,PNC,Financials,PNC Financial Services Group Inc/The,USD,1,1
PPG UN Equity,PPG,Materials,PPG Industries Inc,USD,1,1
PGR UN Equity,PGR,Financials,Progressive Corp/The,USD,1,1
PEG UN Equity,PEG,Utilities,Public Service Enterprise Group Inc,USD,1,1
RHI UN Equity,RHI,Industrials,Robert Half International Inc,USD,1,1
EIX UN Equity,EIX,Utilities,Edison International,USD,1,1
SLB UN Equity,SLB,Energy,Schlumberger NV,USD,1,1
SCHW UN Equity,SCHW,Financials,Charles Schwab Corp/The,USD,1,1
SHW UN Equity,SHW,Materials,Sherwin-Williams Co/The,USD,1,1
WST UN Equity,WST,Health Care,West Pharmaceutical Services Inc,USD,1,1
SJM UN Equity,SJM,Consumer Staples,J M Smucker Co/The,USD,1,1
SNA UN Equity,SNA,Industrials,Snap-on Inc,USD,1,1
AME UN Equity,AME,Industrials,AMETEK Inc,USD,1,1
SO UN Equity,SO,Utilities,Southern Co/The,USD,1,1
TFC UN Equity,TFC,Financials,Truist Financial Corp,USD,1,1
LUV UN Equity,LUV,Industrials,Southwest Airlines Co,USD,1,1
WRB UN Equity,WRB,Financials,W R Berkley Corp,USD,1,1
SWK UN Equity,SWK,Industrials,Stanley Black & Decker Inc,USD,1,1
PSA UN Equity,PSA,Real Estate,Public Storage,USD,1,1
ANET UN Equity,ANET,Information Technology,Arista Networks Inc,USD,1,1
SYY UN Equity,SYY,Consumer Staples,Sysco Corp,USD,1,1
CTVA UN Equity,CTVA,Materials,Corteva Inc,USD,1,1
TXN UW Equity,TXN,Information Technology,Texas Instruments Inc,USD,1,1
TXT UN Equity,TXT,Industrials,Textron Inc,USD,1,1
TMO UN Equity,TMO,Health Care,Thermo Fisher Scientific Inc,USD,1,1
TJX UN Equity,TJX,Consumer Discretionary,TJX Cos Inc/The,USD,1,1
GL UN Equity,GL,Financials,Globe Life Inc,USD,1,1
JCI UN Equity,JCI,Industrials,Johnson Controls International plc,USD,1,1
ULTA UW Equity,ULTA,Consumer Discretionary,Ulta Beauty Inc,USD,1,1
UNP UN Equity,UNP,Industrials,Union Pacific Corp,USD,1,1
KEYS UN Equity,KEYS,Information Technology,Keysight Technologies Inc,USD,1,1
UNH UN Equity,UNH,Health Care,UnitedHealth Group Inc,USD,1,1
UNM UN Equity,UNM,Financials,Unum Group,USD,1,1
MRO UN Equity,MRO,Energy,Marathon Oil Corp,USD,1,1
BIO UN Equity,BIO,Health Care,Bio-Rad Laboratories Inc,USD,1,1
VTR UN Equity,VTR,Real Estate,Ventas Inc,USD,1,1
VFC UN Equity,VFC,Consumer Discretionary,VF Corp,USD,1,1
VNO UN Equity,VNO,Real Estate,Vornado Realty Trust,USD,1,1
